format,prod,platform,account,followers,date,views,likes,comments,shares,saves,dur,acct_median,multiple,c_per_k,sh_per_k,sv_per_k,caption,url,code
CAREER,G,tt,flippo.football,37452,2026-09-12,88979,2106,61,88,283,61.7,20648,4.31,0.69,0.99,3.18,David Beckham‘s Career 🏴󠁧󠁢󠁥󠁮󠁧󠁿 #beckham #davidbeckham #FootballTikTok #soccertiktok #fyp ,https://www.tiktok.com/@flippo.football/video/7684570174523018528,7684570174523018528
CAREER,F,tt,jakelyonsyt,15782,2026-09-21,82081,5141,69,138,216,177.2,,,0.84,1.68,2.63,Can I name the football/soccer player from their transfer history? . . . #trivia #quiz #football #Soccer #sports ,https://www.tiktok.com/@jakelyonsyt/video/7687934746021743885,7687934746021743885
CAREER,G,tt,flippo.football,37452,2026-09-10,60915,1258,47,87,147,61.4,20648,2.95,0.77,1.43,2.41,Ousmane Dembélé‘s Career 🇫🇷 #dembele #ousmanedembele #FootballTikTok #soccertiktok #fyp ,https://www.tiktok.com/@flippo.football/video/7683847862123269409,7683847862123269409
CAREER,G,tt,flippo.football,37452,2026-09-11,54193,926,35,91,117,60.9,20648,2.62,0.65,1.68,2.16,Bernardo Silva‘s Career 🇵🇹 #silva #bernardosilva #FootballTikTok #soccertiktok #fyp ,https://www.tiktok.com/@flippo.football/video/7684218136555425056,7684218136555425056
CAREER,G,tt,fcquizapp,1567,2026-08-25,42797,665,44,19,30,8.3,,,1.03,0.44,0.7,WHO AM I? 🤔 Can you guess these players by their career path on @fcquiz_app ‼️ #WhoAmI #fcQuiz #FootballQuiz #Football #Soccer ,https://www.tiktok.com/@fcquizapp/video/7678089591198469389,7678089591198469389
CAREER,G,tt,flippo.football,37452,2026-09-16,29645,702,8,121,86,62.7,20648,1.44,0.27,4.08,2.9,Miron Muslić‘s Manager Career 🇧🇦🇦🇹 #muslic #FootballTikTok #soccertiktok #fyp ,https://www.tiktok.com/@flippo.football/video/7686073523621727520,7686073523621727520
CAREER,G,tt,flippo.football,37452,2026-09-08,26170,479,41,76,58,61.6,20648,1.27,1.57,2.9,2.22,Bruno Fernandes Career 🇵🇹 #fernandes #brunofernandes #FootballTikTok #soccertiktok #fyp ,https://www.tiktok.com/@flippo.football/video/7683105102529367328,7683105102529367328
CAREER,G,tt,flippo.football,37452,2026-09-14,23594,418,35,40,66,60.1,20648,1.14,1.48,1.7,2.8,Edwin van der Sar‘s Career 🇳🇱 #vandersar #edwinvandersar #FootballTikTok #soccertiktok #fyp ,https://www.tiktok.com/@flippo.football/video/7685331937996623136,7685331937996623136
CAREER,G,tt,flippo.football,37452,2026-09-19,20648,649,23,30,72,61.1,20648,1.0,1.11,1.45,3.49,Raphaël Varane‘s Career 🇫🇷🇲🇶 #varane #raphaelvarane #FootballTikTok #soccertiktok #fyp ,https://www.tiktok.com/@flippo.football/video/7687146934888320289,7687146934888320289
DATARACE,G,ig,teamballvs,35076,2026-08-29,2023724,25452,208,925,,50.7,259627.0,7.79,0.1,0.46,,"Most Ballon d'Or Wins by Club #ballondor   Which football clubs have won the most Ballon d'Or awards in history? 🏆 In this video, we rank the clubs with the most Ballon d'Or wins and look at the legendary players who mad",https://www.instagram.com/reel/DcoFBMgst0F/,DcoFBMgst0F
DATARACE,G,ig,teamballvs,35076,2026-09-12,1160365,14669,160,,,48.0,259627.0,4.47,0.14,,,"Every Ligue 1 & Division 1 Champion Since 1932 #ligue1 Since 1932, 19 different clubs have won the French top-flight title in Division 1 and Ligue 1. #france #psg #monaco #lille",https://www.instagram.com/reel/DdLzcKwsxnB/,DdLzcKwsxnB
DATARACE,G,ig,teamballvs,35076,2026-09-15,704642,4507,110,,,20.8,259627.0,2.71,0.16,,,THRILLING LALIGA ENCOUNTER! | Barcelona vs Racing Santander #laliga #barcelona #racing #lamineyamal #matchday,https://www.instagram.com/reel/DdUn1ZLMC62/,DdUn1ZLMC62
DATARACE,G,ig,teamballvs,35076,2026-09-18,581366,3410,56,,,25.7,259627.0,2.24,0.1,,,Atletico Madrid vs Real Madrid | The Madrid Derby Is Here! #laliga  LaLiga 2026/27 Matchday 7 brings the Madrid Derby: Atlético Madrid vs Real Madrid! Head coaches Diego Simeone and José Mourinho face off in one of Spani,https://www.instagram.com/reel/Ddcd14PM9Am/,Ddcd14PM9Am
DATARACE,G,ig,teamballvs,35076,2026-09-08,299870,3203,31,,,30.6,259627.0,1.16,0.1,,,LaLiga in the Champions League: 21st Century #laliga  The Champions League dominance of LaLiga clubs in the 21st century! 🏆 From Real Madrid and Barcelona to Valencia and Atlético. Which season was your favorite? Let us ,https://www.instagram.com/reel/DdB2w6cs-jn/,DdB2w6cs-jn
DATARACE,G,tt,hai08a,6972,2026-09-11,295946,6536,75,111,378,240.2,16451,17.99,0.25,0.38,1.28,Part 1 | Most Valuable Football Players | (2004–2026) Discover how the transfer values of the world’s most valuable football players changed from 2004 to 2026. Watch the rise of superstar players and see who dominated th,https://www.tiktok.com/@hai08a/video/7684092565196410135,7684092565196410135
DATARACE,G,ig,teamballvs,35076,2026-09-06,219384,633,8,,,20.6,259627.0,0.84,0.04,,,"Barcelona Faces Valencia at Mestalla! #laliga  The excitement is rising in LaLiga! Valencia host Barcelona at Mestalla Stadium. Carlos Corberán’s Valencia face Hansi Flick’s Barcelona, featuring stars like Lamine Yamal, ",https://www.instagram.com/reel/Dc8O7UPsjeq/,Dc8O7UPsjeq
DATARACE,G,ig,teamballvs,35076,2026-09-07,210886,1552,14,,,20.7,259627.0,0.81,0.07,,,"Can Inter Stop Real Madrid? #championsleague  A huge UEFA Champions League clash! Real Madrid host Inter at the Santiago Bernabéu. José Mourinho’s Real Madrid, featuring stars like Kylian Mbappé, Vinícius Júnior and Jude",https://www.instagram.com/reel/Dc-4L2ws_vf/,Dc-4L2ws_vf
DATARACE,G,tt,hai08a,6972,2026-09-11,203170,2414,43,38,173,185.4,16451,12.35,0.21,0.19,0.85,Part 2 | Most Valuable Football Players | 2004–2026 Discover how the transfer values of the world’s most valuable football players changed from 2004 to 2026. Watch the rise of superstar players and see who dominated the ,https://www.tiktok.com/@hai08a/video/7684246242162920707,7684246242162920707
DATARACE,G,ig,teamballvs,35076,2026-09-09,117609,1288,12,,,28.3,259627.0,0.45,0.1,,,"Premier League in the Champions League: 21st Century #championsleague  The Premier League's UEFA Champions League journey in the 21st century! 🏴󠁧󠁢󠁥󠁮󠁧󠁿🏆 From iconic title wins by Manchester United, Liverpool, Chelsea, and",https://www.instagram.com/reel/DdEP3vlM8se/,DdEP3vlM8se
DATARACE,G,ig,teamballvs,35076,2026-09-18,93650,995,4,,,27.7,259627.0,0.36,0.04,,,Real Madrid vs Atletico Madrid | Last 50 Matches #laliga The ultimate score history of the last 50 matches between La Liga and European powerhouses Real Madrid and Atletico Madrid and goalscoring. #realmadrid #atleticoma,https://www.instagram.com/reel/DdbdcWYMCQZ/,DdbdcWYMCQZ
